Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1029.7146285877539
FDW14,OUT017,1439.3488544262523
NCN55,OUT010,697.2143674186531
FDQ58,OUT017,2087.702604686975
FDY38,OUT027,6227.287127315336
FDH56,OUT046,1801.9662457394918
FDL48,OUT018,589.9175435794721
FDC48,OUT027,2268.4684191496394
FDN33,OUT045,1382.6102156764744
FDA36,OUT017,2948.2148466488734
FDT44,OUT017,1839.4118413062351
FDQ56,OUT045,1345.255466640448
NCC54,OUT019,975.9410097947042
FDU11,OUT049,2222.398327795515
DRL59,OUT013,1181.0721737836968
FDM24,OUT049,2450.292391311033
FDI57,OUT045,3779.3541670389586
DRC12,OUT018,2825.7556607064494
NCM42,OUT027,2412.421237728574
FDA46,OUT010,803.6765090267438
FDA31,OUT013,2601.6050525775127
NCJ31,OUT035,3414.4353688610076
FDG52,OUT046,865.9723150329994
NCL19,OUT019,305.761071113933
FDS10,OUT035,3544.618300545773
FDX22,OUT010,436.27727339398314
NCF19,OUT035,671.4492760061476
NCE06,OUT046,2295.8704812081464
DRC27,OUT046,3346.2801926836605
FDE21,OUT035,2210.2121862013532
NCR42,OUT019,-255.0960133545555
FDX51,OUT018,2716.7055873991603
NCR06,OUT018,634.0409802406658
FDU31,OUT027,5592.822769770136
FDU59,OUT017,2763.7169492938606
FDR03,OUT027,5001.102555715009
FDS49,OUT027,2441.545745389245
FDD48,OUT010,305.37887322450723
NCF18,OUT017,3228.370545854034
NCD43,OUT027,2139.9775952399755
NCD54,OUT018,2204.0703356268496
FDY19,OUT010,157.8787960038052
NCY54,OUT017,2668.0806599223697
NCL19,OUT018,1972.3593421766602
FDP23,OUT010,507.3405740562664
FDC26,OUT013,1948.1816137042517
FDR14,OUT010,28.512213045857713
NCS41,OUT035,3153.5069748867454
FDF41,OUT035,3891.1355205468785
FDU34,OUT046,1892.2508198986225
DRH11,OUT046,855.838387587402
FDM03,OUT013,1680.4977135245495
FDS31,OUT017,3217.8541330049757
FDJ20,OUT017,1966.5818572948492
FDV44,OUT027,5159.179409388459
FDG02,OUT049,2765.7480512029483
FDA09,OUT013,3524.3304295089074
FDT04,OUT013,725.4678313761742
FDL58,OUT019,1071.2924018100705
FDE52,OUT045,1453.1662119599487
FDW12,OUT035,2313.479819219345
FDL51,OUT017,3731.1204656416753
NCY42,OUT027,3666.497043479673
FDR07,OUT017,1484.9286730314975
FDN40,OUT045,2458.7313544093745
FDB35,OUT027,2187.2359581834135
FDA22,OUT017,3072.681064227545
NCL06,OUT046,3721.913293464874
FDI35,OUT013,3297.880666148195
NCW42,OUT045,3259.676672562878
NCX06,OUT049,3545.154907367761
FDC37,OUT027,3117.9285462631647
FDZ14,OUT018,1612.5767800896442
DRG49,OUT049,4097.084161841847
NCG06,OUT045,2818.8971266990216
DRC36,OUT045,2719.8361473962323
FDV21,OUT019,364.47634975525443
FDB53,OUT046,2543.16155812073
DRP47,OUT019,404.06494486927124
FDA14,OUT013,2166.877450872452
DRC24,OUT035,2762.7813825069907
FDW21,OUT018,1527.3914342699065
NCH29,OUT046,1675.4914162227394
FDU58,OUT013,2855.9966937946238
FDY27,OUT017,2787.2549213941875
FDV56,OUT035,1888.8487788442794
FDT59,OUT046,3958.3353997865065
FDB23,OUT046,3402.4752040448716
FDR49,OUT045,650.7967243046471
FDB03,OUT010,516.6534399948399
FDN39,OUT045,2591.7660427741494
FDX02,OUT027,5431.535586470476
FDQ16,OUT027,2294.679995137392
FDU35,OUT018,1510.00821720864
NCT29,OUT013,1831.450934996421
FDZ27,OUT046,684.4979086045265
FDN57,OUT017,2241.660555895819
FDA03,OUT018,1838.4981560982596
FDZ36,OUT045,3269.6729670288464
NCU05,OUT013,1149.056176951461
FDT39,OUT018,2192.039471022274
FDK60,OUT017,1570.3433914688424
FDZ25,OUT017,3033.2793248025187
FDG12,OUT046,2103.3851831164507
DRB01,OUT019,-135.33014678849568
NCC43,OUT027,5637.755591884993
FDX13,OUT019,1436.539993949542
FDM22,OUT049,1022.9898367767559
FDJ03,OUT027,1234.8810589503773
FDU14,OUT018,3212.67035434658
FDB33,OUT010,545.8875772507159
FDP27,OUT046,3199.6217118566624
FDO38,OUT010,297.6396590212107
FDE28,OUT027,6223.505271963035
FDO27,OUT035,1936.294717531768
DRL23,OUT027,2344.6583722454375
FDS28,OUT046,791.9871337706373
FDX24,OUT013,1308.4834503192974
FDZ02,OUT035,1535.8206925020654
FDL46,OUT045,1536.9098220230978
FDS60,OUT027,5649.938798698653
NCO06,OUT017,501.7396692032358
FDO16,OUT035,1580.9181310520805
FDC60,OUT049,1605.606798227937
FDA48,OUT018,3222.4607148522973
FDZ36,OUT027,4833.06686871971
FDK27,OUT045,1496.2359265638986
FDW23,OUT018,444.42416550894586
FDM14,OUT018,1403.1713622621696
FDM14,OUT013,1660.6992912229182
FDW60,OUT018,2373.209418791847
FDE21,OUT013,2007.6954040647252
NCM42,OUT035,1644.2102054875666
FDY59,OUT010,202.44650346670247
DRI49,OUT049,1378.7132989577833
FDT28,OUT019,269.34708748048126
FDQ22,OUT018,519.9592304681908
FDR60,OUT049,1232.4312637487494
FDC50,OUT019,267.2733095211655
FDV24,OUT013,2445.4750218165673
DRF48,OUT010,366.29272864038194
FDQ47,OUT046,820.2158553451989
DRN36,OUT049,1779.0560777114397
NCY06,OUT035,2178.4105272895613
FDE52,OUT035,1716.378519950237
NCB54,OUT045,1782.1792160713508
NCF31,OUT035,2273.3477733073946
FDJ08,OUT027,5489.80354395939
NCC07,OUT017,1751.0847661816651
NCD19,OUT027,1468.9231543571836
FDL46,OUT049,1595.5273045429446
FDM20,OUT045,4605.6782177505875
NCI06,OUT010,543.705852793332
DRM11,OUT035,4592.308379308897
NCH07,OUT018,2361.142694487799
FDS23,OUT013,2150.048789043726
FDO49,OUT018,467.50866913587214
FDS35,OUT049,1049.7493569635742
DRK39,OUT045,1248.2719076761089
DRI39,OUT049,981.8072190288149
FDV04,OUT017,2198.3558878986814
NCN14,OUT035,2900.3070464910707
FDH08,OUT013,4112.546108907814
FDS20,OUT046,2857.7447668989034
FDV40,OUT049,994.2542065752509
FDZ48,OUT010,391.2052024157463
FDS24,OUT027,2244.1410251254147
FDK44,OUT049,2760.8458595190746
FDS48,OUT045,2404.2183229617663
FDK26,OUT010,481.4358155249001
FDD23,OUT045,3073.082819036577
NCH54,OUT017,2605.1267258779617
NCP14,OUT010,689.0713603381163
FDM60,OUT010,76.19619408821288
FDV24,OUT017,2398.542266726612
FDH08,OUT018,3474.5147871742574
FDS12,OUT027,3867.6258851990433
