Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1204.653198724773
FDW14,OUT017,1494.0793757569252
NCN55,OUT010,599.6534450376017
FDQ58,OUT017,2150.8355915658585
FDY38,OUT027,6216.958831892166
FDH56,OUT046,1856.1652120861593
FDL48,OUT018,645.0396493271412
FDC48,OUT027,2231.15559251571
FDN33,OUT045,1404.50050980683
FDA36,OUT017,3082.720927640229
FDT44,OUT017,1829.0851837037146
FDQ56,OUT045,1377.8555121227027
NCC54,OUT019,724.5554423604228
FDU11,OUT049,2213.600501657729
DRL59,OUT013,986.9642041531416
FDM24,OUT049,2254.4923397964917
FDI57,OUT045,3677.681873621867
DRC12,OUT018,2796.523171038593
NCM42,OUT027,2559.4214996716587
FDA46,OUT010,847.5506127388614
FDA31,OUT013,2722.5370114274447
NCJ31,OUT035,3560.2391943425505
FDG52,OUT046,920.7574395160322
NCL19,OUT019,236.41297903204443
FDS10,OUT035,3354.981665863649
FDX22,OUT010,239.7105335313405
NCF19,OUT035,675.892768498249
NCE06,OUT046,2396.7217081483223
DRC27,OUT046,3520.3818370078475
FDE21,OUT035,2147.3741088113584
NCR42,OUT019,-198.9557786788803
FDX51,OUT018,2642.324003819157
NCR06,OUT018,666.9608867364065
FDU31,OUT027,5455.279897536173
FDU59,OUT017,2691.7380491730073
FDR03,OUT027,5046.768369303944
FDS49,OUT027,2528.0194905577073
FDD48,OUT010,204.4374124336039
NCF18,OUT017,3310.633184904363
NCD43,OUT027,2266.4890561564494
NCD54,OUT018,2183.237371819269
FDY19,OUT010,179.81127584118323
NCY54,OUT017,2646.9807127939644
NCL19,OUT018,1959.1780540715831
FDP23,OUT010,528.3539292365309
FDC26,OUT013,1919.7489675460406
FDR14,OUT010,-33.19021003248773
NCS41,OUT035,3205.742059362509
FDF41,OUT035,3907.7806621338323
FDU34,OUT046,1956.6491802139535
DRH11,OUT046,913.4837273894043
FDM03,OUT013,1686.5789336853702
FDS31,OUT017,3213.340044413058
FDJ20,OUT017,2000.7072322239553
FDV44,OUT027,5233.667341053424
FDG02,OUT049,2604.543246026074
FDA09,OUT013,3584.5167485928573
FDT04,OUT013,707.5278498138593
FDL58,OUT019,1028.4052538941257
FDE52,OUT045,1417.55202847819
FDW12,OUT035,2300.6509001356085
FDL51,OUT017,3714.586456609296
NCY42,OUT027,3793.564840574893
FDR07,OUT017,1490.7009940170744
FDN40,OUT045,2289.3763456492316
FDB35,OUT027,2164.1549814869436
FDA22,OUT017,3031.951719152196
NCL06,OUT046,3961.2178296104685
FDI35,OUT013,3350.0782143473275
NCW42,OUT045,3258.9762742069734
NCX06,OUT049,3646.9557843707385
FDC37,OUT027,3085.189142310687
FDZ14,OUT018,1617.858268137727
DRG49,OUT049,4124.22785352008
NCG06,OUT045,2796.3834368892335
DRC36,OUT045,2688.911027307145
FDV21,OUT019,378.43000322975314
FDB53,OUT046,2545.4800744405925
DRP47,OUT019,144.17273899245606
FDA14,OUT013,2242.993641942632
DRC24,OUT035,2747.1542811774343
FDW21,OUT018,1445.5729338721492
NCH29,OUT046,1684.7255635196757
FDU58,OUT013,2851.029173697709
FDY27,OUT017,2767.5244138860403
FDV56,OUT035,1884.0543925118775
FDT59,OUT046,4096.543353603968
FDB23,OUT046,3542.841289503466
FDR49,OUT045,708.0650165027206
FDB03,OUT010,433.2835926359332
FDN39,OUT045,2676.073170980567
FDX02,OUT027,5379.245272167081
FDQ16,OUT027,2331.894750772337
FDU35,OUT018,1611.5563556318575
NCT29,OUT013,1841.7067112871848
FDZ27,OUT046,568.4169073191397
FDN57,OUT017,2273.977298279673
FDA03,OUT018,1917.3489641110275
FDZ36,OUT045,3183.9616011786006
NCU05,OUT013,1116.92600004518
FDT39,OUT018,2270.1857874927873
FDK60,OUT017,1504.4387501710785
FDZ25,OUT017,3078.4853955240596
FDG12,OUT046,2139.4554120256234
DRB01,OUT019,-287.222187590269
NCC43,OUT027,5797.104059591145
FDX13,OUT019,1757.223574563281
FDM22,OUT049,990.9236296150835
FDJ03,OUT027,1260.8102692814857
FDU14,OUT018,3633.252952007814
FDB33,OUT010,557.3456487973572
FDP27,OUT046,3221.4207727712965
FDO38,OUT010,234.11205303055954
FDE28,OUT027,6263.114202479972
