Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1799.85714
FDW14,OUT017,1352.4395399999999
NCN55,OUT010,622.5229999999999
FDQ58,OUT017,2093.7412600000002
FDY38,OUT027,5977.1529199999995
FDH56,OUT046,1519.2224400000002
FDL48,OUT018,506.94012000000004
FDC48,OUT027,1915.63976
FDN33,OUT045,1089.1822200000004
FDA36,OUT017,3091.9086199999997
FDT44,OUT017,1021.40378
FDQ56,OUT045,1686.2716599999999
NCC54,OUT019,675.6538400000001
FDU11,OUT049,1555.4419600000003
DRL59,OUT013,885.58058
FDM24,OUT049,2969.6011599999997
FDI57,OUT045,4602.14276
DRC12,OUT018,3839.4022800000007
NCM42,OUT027,3888.5383199999997
FDA46,OUT010,531.57472
FDA31,OUT013,2807.6785999999997
NCJ31,OUT035,3796.79108
FDG52,OUT046,730.64892
NCL19,OUT019,321.78114
FDS10,OUT035,2855.2167200000004
FDX22,OUT010,652.41742
NCF19,OUT035,816.67028
NCE06,OUT046,2053.1274600000006
DRC27,OUT046,3671.887
FDE21,OUT035,2191.4807
NCR42,OUT019,37.9506
FDX51,OUT018,2247.47448
NCR06,OUT018,445.15388
FDU31,OUT027,5307.158379999999
FDU59,OUT017,2321.84434
FDR03,OUT027,3916.302180000001
FDS49,OUT027,2218.4456
FDD48,OUT010,167.24895999999998
NCF18,OUT017,3489.3912200000004
NCD43,OUT027,2389.5562
NCD54,OUT018,1865.8379200000004
FDY19,OUT010,203.33532
NCY54,OUT017,2791.63282
NCL19,OUT018,1679.28076
FDP23,OUT010,351.07634
FDC26,OUT013,2009.5841400000002
FDR14,OUT010,129.76442
NCS41,OUT035,4342.281019999999
FDF41,OUT035,3738.0675200000005
FDU34,OUT046,2639.1646200000005
DRH11,OUT046,725.1893600000001
FDM03,OUT013,1881.2179000000003
FDS31,OUT017,3029.85606
FDJ20,OUT017,1284.19504
FDV44,OUT027,4820.8580600000005
FDG02,OUT049,3800.0535000000004
FDA09,OUT013,4461.1929
FDT04,OUT013,610.13912
FDL58,OUT019,557.2080199999999
FDE52,OUT045,1417.1553
FDW12,OUT035,2650.1503199999997
FDL51,OUT017,3558.90074
NCY42,OUT027,3356.43096
FDR07,OUT017,1433.3342400000001
FDN40,OUT045,2961.7447199999997
FDB35,OUT027,2108.2556999999997
FDA22,OUT017,2591.55992
NCL06,OUT046,5102.4248800000005
FDI35,OUT013,3319.9451200000003
NCW42,OUT045,4740.029939999999
NCX06,OUT049,3996.7308199999998
FDC37,OUT027,2741.2983400000003
FDZ14,OUT018,1522.3517
DRG49,OUT049,5200.09774
NCG06,OUT045,4729.8432
DRC36,OUT045,2763.4029
FDV21,OUT019,410.53228
FDB53,OUT046,3630.9402999999998
DRP47,OUT019,495.95442
FDA14,OUT013,1264.3542
DRC24,OUT035,3654.9756800000005
FDW21,OUT018,1310.76046
NCH29,OUT046,2300.8716400000003
FDU58,OUT013,2880.5837
FDY27,OUT017,2558.2699199999997
FDV56,OUT035,1590.1967199999997
FDT59,OUT046,4409.65998
FDB23,OUT046,3717.1614
FDR49,OUT045,882.5844799999999
FDB03,OUT010,762.87364
FDN39,OUT045,1848.39396
FDX02,OUT027,6054.7852
FDQ16,OUT027,2811.1407599999993
FDU35,OUT018,1520.1545600000002
NCT29,OUT013,847.03076
FDZ27,OUT046,641.56488
FDN57,OUT017,1929.22208
FDA03,OUT018,2621.9869799999997
FDZ36,OUT045,2845.5626199999997
NCU05,OUT013,1493.92204
FDT39,OUT018,2002.19376
FDK60,OUT017,1296.4457599999998
FDZ25,OUT017,2789.9683200000004
FDG12,OUT046,2282.76188
DRB01,OUT019,735.50926
NCC43,OUT027,5536.06042
FDX13,OUT019,616.4642200000001
FDM22,OUT049,947.36682
FDJ03,OUT027,1818.8324399999997
FDU14,OUT018,3777.1499799999997
FDB33,OUT010,326.10884
FDP27,OUT046,3433.4640200000003
FDO38,OUT010,156.72931999999997
FDE28,OUT027,6443.14634
FDO27,OUT035,1494.32152
DRL23,OUT027,3051.5611400000007
FDS28,OUT046,747.3605
FDX24,OUT013,1234.92584
FDZ02,OUT035,1298.11026
FDL46,OUT045,1131.46052
FDS60,OUT027,4274.90206
NCO06,OUT017,549.4181600000001
FDO16,OUT035,1861.04416
FDC60,OUT049,1112.6849599999998
FDA48,OUT018,2814.53634
FDZ36,OUT027,3025.2620400000005
FDK27,OUT045,1589.7306599999997
FDW23,OUT018,254.40217999999996
FDM14,OUT018,1386.1290199999999
FDM14,OUT013,1845.2647000000002
FDW60,OUT018,2868.5993000000003
FDE21,OUT013,1605.3103799999997
NCM42,OUT035,1536.26692
FDY59,OUT010,191.95014
DRI49,OUT049,1356.6340800000003
FDT28,OUT019,464.46207999999996
FDQ22,OUT018,386.23058000000003
FDR60,OUT049,1120.5414
FDC50,OUT019,279.56942
FDV24,OUT013,2509.59994
DRF48,OUT010,745.2965200000001
FDQ47,OUT046,952.6266400000001
DRN36,OUT049,1285.1937400000002
NCY06,OUT035,2428.8384000000005
FDE52,OUT035,1330.0686600000001
