Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1581.5604353952112
FDW14,OUT017,1453.1599348866532
NCN55,OUT010,563.2650596379738
FDQ58,OUT017,2503.475212818187
FDY38,OUT027,6270.493484805423
FDH56,OUT046,1952.6066862917169
FDL48,OUT018,705.4401946259026
FDC48,OUT027,2287.1482412585474
FDN33,OUT045,1531.3171772726319
FDA36,OUT017,3039.836091743405
FDT44,OUT017,1969.7089094613966
FDQ56,OUT045,1441.7546860906727
NCC54,OUT019,587.851289073612
FDU11,OUT049,2010.2629656836289
DRL59,OUT013,749.9188448512108
FDM24,OUT049,2491.3096496691333
FDI57,OUT045,3086.427530229198
DRC12,OUT018,3037.7143349843436
NCM42,OUT027,2919.538392856856
FDA46,OUT010,520.1838113522638
FDA31,OUT013,2856.978632768046
NCJ31,OUT035,3877.5103780078407
FDG52,OUT046,703.4540510754198
NCL19,OUT019,288.3296378994954
FDS10,OUT035,2999.3157591609875
FDX22,OUT010,544.7394750151166
NCF19,OUT035,703.4540510754198
NCE06,OUT046,2567.5866996298746
DRC27,OUT046,3913.721377358347
FDE21,OUT035,1951.3700022070836
NCR42,OUT019,93.56724494557548
FDX51,OUT018,3038.549113168473
NCR06,OUT018,681.4923425080332
FDU31,OUT027,5692.890419766407
FDU59,OUT017,2577.0931644068405
FDR03,OUT027,5641.392502043381
FDS49,OUT027,2314.4401502615515
FDD48,OUT010,264.7885149178785
NCF18,OUT017,3040.1974702141806
NCD43,OUT027,2527.1943045396515
NCD54,OUT018,2124.1410268362342
FDY19,OUT010,264.1929697229301
NCY54,OUT017,2856.904651558044
NCL19,OUT018,2473.8818491637912
FDP23,OUT010,538.1688204060086
FDC26,OUT013,1703.4510573620835
FDR14,OUT010,165.1383744254054
NCS41,OUT035,3038.925534834203
FDF41,OUT035,3959.503828278994
FDU34,OUT046,2013.3870492241795
DRH11,OUT046,816.1979842673112
FDM03,OUT013,1579.4509980189912
FDS31,OUT017,3008.1203012188635
FDJ20,OUT017,2009.1804995911727
FDV44,OUT027,5153.006254564686
FDG02,OUT049,3039.59039724957
FDA09,OUT013,2963.1361566277824
FDT04,OUT013,681.5101857793007
FDL58,OUT019,560.4079851948006
FDE52,OUT045,1497.0218240481756
FDW12,OUT035,2474.4134406313274
FDL51,OUT017,3690.6257144225638
NCY42,OUT027,3472.563500287674
FDR07,OUT017,1531.756074166647
FDN40,OUT045,2496.4739249871277
FDB35,OUT027,2562.6615908195267
FDA22,OUT017,2579.7803451189375
NCL06,OUT046,4019.5227304730042
FDI35,OUT013,3009.8310262538607
NCW42,OUT045,3777.5278615799584
NCX06,OUT049,2970.691740353027
FDC37,OUT027,2684.723370074513
FDZ14,OUT018,2009.1804995911727
DRG49,OUT049,3887.656853210867
NCG06,OUT045,3990.9063084824284
DRC36,OUT045,2856.904651558044
FDV21,OUT019,315.8648649105084
FDB53,OUT046,2483.085551197443
DRP47,OUT019,568.7841208299842
FDA14,OUT013,2479.6371358479228
DRC24,OUT035,2496.937247296435
FDW21,OUT018,1558.9920905815109
NCH29,OUT046,1531.756074166647
FDU58,OUT013,3039.59039724957
FDY27,OUT017,2884.3096972040084
FDV56,OUT035,1588.9892958101689
FDT59,OUT046,3833.129183324566
FDB23,OUT046,3792.069553388754
FDR49,OUT045,702.0824466399939
FDB03,OUT010,615.8489397819109
FDN39,OUT045,2578.0786966360265
FDX02,OUT027,5864.620201162706
FDQ16,OUT027,2606.4276545605326
FDU35,OUT018,1535.0562013201795
NCT29,OUT013,2009.1804995911727
FDZ27,OUT046,703.4540510754198
FDN57,OUT017,2024.7013322547311
FDA03,OUT018,2481.3973829547276
FDZ36,OUT045,3039.3890416401196
NCU05,OUT013,1354.1825513061845
FDT39,OUT018,2489.8600752240095
FDK60,OUT017,1531.756074166647
FDZ25,OUT017,2747.402297384821
FDG12,OUT046,2009.1804995911727
DRB01,OUT019,525.1322668117726
NCC43,OUT027,6268.765998735127
FDX13,OUT019,721.742078988843
FDM22,OUT049,781.8668986651675
FDJ03,OUT027,1472.488739585616
FDU14,OUT018,3750.883134927023
FDB33,OUT010,389.8949527685057
FDP27,OUT046,3039.985327846907
FDO38,OUT010,201.59112538128983
FDE28,OUT027,6192.468133837237
FDO27,OUT035,1531.3171772726319
DRL23,OUT027,2581.3254060142385
FDS28,OUT046,810.8911096558417
FDX24,OUT013,1518.615647409163
FDZ02,OUT035,1531.756074166647
FDL46,OUT045,1952.6066862917169
FDS60,OUT027,5063.520257321316
NCO06,OUT017,681.5101857793007
FDO16,OUT035,1439.8054717942355
FDC60,OUT049,1452.7479668011647
FDA48,OUT018,3535.476825970795
FDZ36,OUT027,5170.146816454951
FDK27,OUT045,2007.4287425457026
FDW23,OUT018,681.8681292268353
FDM14,OUT018,1671.3354219203459
FDM14,OUT013,1582.3534236139044
FDW60,OUT018,2881.1229336512743
FDE21,OUT013,1950.458803356544
NCM42,OUT035,1589.7821854354042
FDY59,OUT010,227.3577335650649
DRI49,OUT049,1355.53200610026
FDT28,OUT019,421.0652130564947
FDQ22,OUT018,681.2694957826193
FDR60,OUT049,1323.868949065033
FDC50,OUT019,238.8799758373035
FDV24,OUT013,2491.3096496691333
DRF48,OUT010,504.54473446020324
FDQ47,OUT046,681.5101857793007
DRN36,OUT049,1531.756074166647
NCY06,OUT035,2016.0722153122347
FDE52,OUT035,1493.7679440460035
NCB54,OUT045,2015.5760507560137
NCF31,OUT035,2496.4519195779817
FDJ08,OUT027,5101.351660839993
NCC07,OUT017,1577.1426438770468
NCD19,OUT027,1641.990831966876
FDL46,OUT049,1977.148340104938
FDM20,OUT045,3975.8865371590405
NCI06,OUT010,469.1954127424884
DRM11,OUT035,4024.207774855816
NCH07,OUT018,2556.513379200556
FDS23,OUT013,2020.8956734665103
FDO49,OUT018,704.6524349070794
FDS35,OUT049,1041.5536308613152
DRK39,OUT045,1396.0447289470312
DRI39,OUT049,817.254485989304
FDV04,OUT017,2555.982519222737
NCN14,OUT035,3039.7015807155494
FDH08,OUT013,3822.815429562019
FDS20,OUT046,3038.925534834203
FDV40,OUT049,1094.038683911849
FDZ48,OUT010,255.2157860363769
FDS24,OUT027,2425.466014568431
FDK44,OUT049,2856.978632768046
FDS48,OUT045,2485.1162783298732
FDK26,OUT010,472.5953766227905
FDD23,OUT045,3040.7356831902175
NCH54,OUT017,2568.3284933628574
NCP14,OUT010,240.14431208734445
FDM60,OUT010,98.91574413094017
FDV24,OUT017,2489.9283443822387
FDH08,OUT018,3600.8053267581754
FDS12,OUT027,3393.8620467139767
FDR39,OUT027,4995.692430742565
FDP12,OUT027,956.9243438899169
DRF60,OUT027,6331.397470382104
FDC09,OUT035,1574.1202994287405
FDF50,OUT018,3043.7301468983424
FDG28,OUT035,3921.845562719529
NCE19,OUT017,810.617811542228
NCM53,OUT010,253.29547006656077
NCN18,OUT049,1682.5549045640803
FDF32,OUT035,3112.2242880996796
FDF11,OUT013,3888.3432431809665
DRI59,OUT049,3787.884401842932
NCG54,OUT035,2749.4121037243585
FDM44,OUT046,1564.7431584412914
FDT57,OUT018,3646.6130239074996
FDV24,OUT046,2489.649872958563
FDI50,OUT019,548.5426097114142
FDS09,OUT035,731.9507758458483
NCC31,OUT027,4195.816432115735
FDQ07,OUT019,570.9419419426429
FDC22,OUT017,3040.1974702141806
FDZ56,OUT046,2747.1238259611455
FDZ40,OUT019,162.19331023322948
FDS46,OUT027,3047.2098764518514
DRD24,OUT045,2029.7087516301106
FDV45,OUT017,3039.985327846907
FDL26,OUT045,2506.262265421157
FDA56,OUT018,2009.1804995911727
FDN27,OUT046,1959.7121167485564
FDM20,OUT049,3970.671756711614
FDO16,OUT017,1397.6433790069823
FDL03,OUT035,3041.03224839831
FDE58,OUT046,1952.6066862917169
FDI02,OUT027,3130.154424025852
NCC55,OUT019,93.50346045198575
FDR03,OUT018,3308.3401261200156
FDB14,OUT017,1518.8806954878442
FDR45,OUT013,3885.3949324480345
NCN07,OUT017,2020.3465864083594
FDM51,OUT019,243.15160912818945
FDT52,OUT027,6136.58406124977
FDL26,OUT046,2501.9850919466207
NCZ42,OUT046,3886.291931820203
DRI47,OUT019,367.68091811916526
FDW40,OUT013,2037.0174998627595
FDN34,OUT046,2747.570876064431
FDS01,OUT035,2899.7745861992553
NCG55,OUT045,1949.9761039394466
FDC11,OUT035,1453.1599348866532
FDX35,OUT018,3576.496563210763
NCB06,OUT046,2561.138868287041
FDR09,OUT019,565.6779008958914
