Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1607.8195582666751
FDW14,OUT017,1389.6386737333378
NCN55,OUT010,532.2782486666645
FDQ58,OUT017,2168.5749606666536
FDY38,OUT027,6904.046833866703
FDH56,OUT046,1834.9967323999867
FDL48,OUT018,634.0404522666612
FDC48,OUT027,2189.2973198666527
FDN33,OUT045,1088.4516154666644
FDA36,OUT017,2676.458741200016
FDT44,OUT017,1524.3553141333236
FDQ56,OUT045,1676.5603012000042
NCC54,OUT019,709.38104866667
FDU11,OUT049,1791.6571472000182
DRL59,OUT013,867.8738509333335
FDM24,OUT049,2460.365805466654
FDI57,OUT045,4130.672913066682
DRC12,OUT018,2838.9938371999933
NCM42,OUT027,3260.4882922666757
FDA46,OUT010,522.1674098666676
FDA31,OUT013,2729.6823493333495
NCJ31,OUT035,3772.921262266695
FDG52,OUT046,763.6233308000033
NCL19,OUT019,361.6501317333335
FDS10,OUT035,3127.8751360000124
FDX22,OUT010,557.155199866667
NCF19,OUT035,707.2757890666674
NCE06,OUT046,2336.293975466668
DRC27,OUT046,4330.478605333335
FDE21,OUT035,2243.061113733328
NCR42,OUT019,59.49500026666678
FDX51,OUT018,2443.3049023999897
NCR06,OUT018,400.75079026666833
FDU31,OUT027,5298.443945733353
FDU59,OUT017,2347.4008510666617
FDR03,OUT027,5061.107551333392
FDS49,OUT027,2224.553205333338
FDD48,OUT010,306.01277666666346
NCF18,OUT017,3316.3853093333346
NCD43,OUT027,2245.688360533352
NCD54,OUT018,2003.8862236000045
FDY19,OUT010,249.7393606666659
NCY54,OUT017,2425.1733929333204
NCL19,OUT018,2367.653599333347
FDP23,OUT010,437.5313577333352
FDC26,OUT013,1680.0917043999923
FDR14,OUT010,136.84320560000097
NCS41,OUT035,3499.181143200005
FDF41,OUT035,3726.257559599989
FDU34,OUT046,2184.9620741333392
DRH11,OUT046,811.2972740000024
FDM03,OUT013,1943.620226933344
FDS31,OUT017,3233.0244861333495
FDJ20,OUT017,1757.4678733333278
FDV44,OUT027,4628.55460213333
FDG02,OUT049,2796.372872133338
FDA09,OUT013,3800.020210000009
FDT04,OUT013,631.5246160000027
FDL58,OUT019,602.2618182666663
FDE52,OUT045,1443.7353676000066
FDW12,OUT035,2672.878068800009
FDL51,OUT017,4029.2116510667006
NCY42,OUT027,3476.5994265333334
FDR07,OUT017,1430.8543569333283
FDN40,OUT045,2586.3067579999793
FDB35,OUT027,2489.3960170666583
FDA22,OUT017,2743.920260399991
NCL06,OUT046,4601.86889426668
FDI35,OUT013,3784.1200182666635
NCW42,OUT045,4282.861920933291
NCX06,OUT049,3321.5190712000003
FDC37,OUT027,3018.479313466684
FDZ14,OUT018,1839.0993920000099
DRG49,OUT049,4898.4193213333865
NCG06,OUT045,3838.8616503999983
DRC36,OUT045,3050.284579466621
FDV21,OUT019,475.1841232000003
FDB53,OUT046,3187.577421999993
DRP47,OUT019,603.3772552000036
FDA14,OUT013,1956.7289412000018
DRC24,OUT035,3070.602132266658
FDW21,OUT018,1566.8644247999944
NCH29,OUT046,1919.6869362666641
FDU58,OUT013,3330.300085466685
FDY27,OUT017,2121.0235246666525
FDV56,OUT035,1477.6396790666618
FDT59,OUT046,4427.404437733322
FDB23,OUT046,4009.0330285333425
FDR49,OUT045,781.2439497333376
FDB03,OUT010,736.5572291999943
FDN39,OUT045,2680.428240799996
FDX02,OUT027,4961.936641333326
FDQ16,OUT027,2479.2603217333726
FDU35,OUT018,1524.9895996000018
NCT29,OUT013,1503.8602146666767
FDZ27,OUT046,680.9536080000064
FDN57,OUT017,2252.7400702666623
FDA03,OUT018,2373.2822725333176
FDZ36,OUT045,3182.0477310666734
NCU05,OUT013,1342.731732133331
FDT39,OUT018,2256.1902458666773
FDK60,OUT017,1513.6203988
FDZ25,OUT017,3222.100039733322
FDG12,OUT046,2485.5832024000274
DRB01,OUT019,679.8443852000045
NCC43,OUT027,5400.5634619999855
FDX13,OUT019,753.6824929333346
FDM22,OUT049,986.3134567999955
FDJ03,OUT027,1575.157185733344
FDU14,OUT018,4009.372586533327
FDB33,OUT010,375.2790577333335
FDP27,OUT046,3361.3547729333372
FDO38,OUT010,140.74612519999997
FDE28,OUT027,6727.970697466706
FDO27,OUT035,1562.8447682666535
DRL23,OUT027,2857.8901289333285
FDS28,OUT046,819.1417295999977
FDX24,OUT013,1405.1336152000135
FDZ02,OUT035,1218.4770290666665
FDL46,OUT045,1483.627884266668
FDS60,OUT027,4797.695321866648
NCO06,OUT017,505.9707151999995
FDO16,OUT035,1790.436513866658
FDC60,OUT049,1807.0366833333155
FDA48,OUT018,3474.4000671999943
FDZ36,OUT027,3852.8003953333546
FDK27,OUT045,1858.1390526666607
FDW23,OUT018,282.19178426666673
FDM14,OUT018,1411.4338586666704
FDM14,OUT013,1630.6316417333376
FDW60,OUT018,3009.0280605333237
FDE21,OUT013,1651.1542609333267
NCM42,OUT035,1621.5922970666704
FDY59,OUT010,195.91963960000183
DRI49,OUT049,1410.3419466666694
FDT28,OUT019,448.1792752000008
FDQ22,OUT018,350.7327872000024
FDR60,OUT049,1190.9746065333436
FDC50,OUT019,307.5015054666656
FDV24,OUT013,2411.488095866667
DRF48,OUT010,621.151008133337
FDQ47,OUT046,781.506718800006
DRN36,OUT049,1488.6955099999998
