Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1574.5432793407676
FDW14,OUT017,1460.8202084805062
NCN55,OUT010,566.9290664606216
FDQ58,OUT017,2505.3143810137394
FDY38,OUT027,6259.280069312736
FDH56,OUT046,1950.114211478701
FDL48,OUT018,704.2989469901718
FDC48,OUT027,2287.4115427049205
FDN33,OUT045,1525.8928564374253
FDA36,OUT017,3040.5559763825613
FDT44,OUT017,1961.3844769339535
FDQ56,OUT045,1449.0548416407887
NCC54,OUT019,581.4371977790589
FDU11,OUT049,2015.514102011633
DRL59,OUT013,750.1088887825991
FDM24,OUT049,2494.0944831825814
FDI57,OUT045,3086.6995435841227
DRC12,OUT018,3037.5140844966554
NCM42,OUT027,2930.124720524552
FDA46,OUT010,517.9495018848378
FDA31,OUT013,2850.02900329916
NCJ31,OUT035,3886.5307553115385
FDG52,OUT046,700.9439275877609
NCL19,OUT019,289.9284919477551
FDS10,OUT035,3002.393343775453
FDX22,OUT010,546.0839163283013
NCF19,OUT035,700.9439275877609
NCE06,OUT046,2570.9998371345146
DRC27,OUT046,3925.5422216744396
FDE21,OUT035,1948.3237870512744
NCR42,OUT019,93.38507517312986
FDX51,OUT018,3037.5140844966554
NCR06,OUT018,679.3365562351107
FDU31,OUT027,5713.087931166356
FDU59,OUT017,2581.795495899935
FDR03,OUT027,5675.29803796856
FDS49,OUT027,2305.9352058582813
FDD48,OUT010,263.7955771690578
NCF18,OUT017,3040.5559763825613
NCD43,OUT027,2531.720806057681
NCD54,OUT018,2126.7636234236143
FDY19,OUT010,263.6620726223856
NCY54,OUT017,2850.0324127975846
NCL19,OUT018,2476.2211264079497
FDP23,OUT010,537.9026431744204
FDC26,OUT013,1707.211191102431
FDR14,OUT010,164.56859718509304
NCS41,OUT035,3040.6066006304313
FDF41,OUT035,3966.6101862422324
FDU34,OUT046,2017.0096488663132
DRH11,OUT046,823.2334688824758
FDM03,OUT013,1573.7626680233507
FDS31,OUT017,3008.1855091828247
FDJ20,OUT017,2015.514102011633
FDV44,OUT027,5132.455194002408
FDG02,OUT049,3040.5727022525402
FDA09,OUT013,2952.6455283245714
FDT04,OUT013,679.7947293701499
FDL58,OUT019,564.5867311940048
FDE52,OUT045,1491.9363300449352
FDW12,OUT035,2475.9858662906377
FDL51,OUT017,3706.244416893571
NCY42,OUT027,3461.9909545491014
FDR07,OUT017,1525.8928564374253
FDN40,OUT045,2499.0616597641697
FDB35,OUT027,2561.50612460434
FDA22,OUT017,2584.838465285143
NCL06,OUT046,4010.898055410461
FDI35,OUT013,3009.562503576297
NCW42,OUT045,3783.4073068260946
NCX06,OUT049,2963.2107678476527
FDC37,OUT027,2703.9765055222715
FDZ14,OUT018,2015.514102011633
DRG49,OUT049,3894.963764696954
NCG06,OUT045,3984.836302188983
DRC36,OUT045,2849.9796246475203
FDV21,OUT019,314.4935618973272
FDB53,OUT046,2487.5653114956667
DRP47,OUT019,567.2976636433395
FDA14,OUT013,2481.8850172521134
DRC24,OUT035,2499.0122811125298
FDW21,OUT018,1552.661526168313
NCH29,OUT046,1525.8928564374253
FDU58,OUT013,3040.253472673112
FDY27,OUT017,2877.6511432244547
FDV56,OUT035,1583.4700254556062
FDT59,OUT046,3841.7485511088744
FDB23,OUT046,3803.0994301087494
FDR49,OUT045,700.4734308367738
FDB03,OUT010,609.6637371011859
FDN39,OUT045,2583.798106678773
FDX02,OUT027,5889.106825037894
FDQ16,OUT027,2610.5732645885596
FDU35,OUT018,1530.328813788841
NCT29,OUT013,2015.514102011633
FDZ27,OUT046,700.9439275877609
FDN57,OUT017,2029.3556912097156
FDA03,OUT018,2483.9929793360575
FDZ36,OUT045,3040.253472673112
NCU05,OUT013,1357.7191582530857
FDT39,OUT018,2493.3492544138617
FDK60,OUT017,1525.8928564374253
FDZ25,OUT017,2753.2031352990307
FDG12,OUT046,2015.514102011633
DRB01,OUT019,518.9987401412849
NCC43,OUT027,6264.8185576378
FDX13,OUT019,714.351080096052
FDM22,OUT049,788.8794710048246
FDJ03,OUT027,1470.9132938579262
FDU14,OUT018,3733.8788561718393
FDB33,OUT010,386.7180820039785
FDP27,OUT046,3040.5559763825613
FDO38,OUT010,203.8163340172757
FDE28,OUT027,6163.818552923589
FDO27,OUT035,1525.8928564374253
DRL23,OUT027,2592.7565749993946
FDS28,OUT046,818.8376520950587
FDX24,OUT013,1513.4011284688968
FDZ02,OUT035,1525.8928564374253
FDL46,OUT045,1950.114211478701
FDS60,OUT027,5023.155500626856
NCO06,OUT017,679.8394782003958
FDO16,OUT035,1448.3482553143688
FDC60,OUT049,1461.395256632507
FDA48,OUT018,3527.944096098501
FDZ36,OUT027,5189.706386253541
FDK27,OUT045,2012.4446125877132
FDW23,OUT018,679.3365562351107
FDM14,OUT018,1662.8984484576526
FDM14,OUT013,1575.3446310859974
FDW60,OUT018,2874.893890107501
