Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1625.8651370171194
FDW14,OUT017,1496.0999037060021
NCN55,OUT010,558.3420171919295
FDQ58,OUT017,2462.0321778827997
FDY38,OUT027,6190.432538672086
FDH56,OUT046,1953.5208898182923
FDL48,OUT018,782.9924029849576
FDC48,OUT027,2364.2395613185313
FDN33,OUT045,1534.8339022465486
FDA36,OUT017,3044.7372443623885
FDT44,OUT017,1953.5208898182923
FDQ56,OUT045,1354.7628576401369
NCC54,OUT019,592.5829146755849
FDU11,OUT049,2008.8844073831938
DRL59,OUT013,782.9924029849576
FDM24,OUT049,2462.0321778827997
FDI57,OUT045,3046.351377225151
DRC12,OUT018,3039.0205607349862
NCM42,OUT027,3060.6180862026395
FDA46,OUT010,522.0447786707159
FDA31,OUT013,2753.7895890038217
NCJ31,OUT035,3908.8628355508595
FDG52,OUT046,683.9487882869994
NCL19,OUT019,371.96895777588344
FDS10,OUT035,3044.2384767348226
FDX22,OUT010,540.6187813324661
NCF19,OUT035,683.9487882869994
NCE06,OUT046,2586.6173785991123
DRC27,OUT046,3953.064902225583
FDE21,OUT035,1953.5208898182923
NCR42,OUT019,96.62206760002486
FDX51,OUT018,3039.8672304996962
NCR06,OUT018,683.9487882869994
FDU31,OUT027,5739.796887203591
FDU59,OUT017,2725.1619253932754
FDR03,OUT027,5570.188644405922
FDS49,OUT027,2391.714715860215
FDD48,OUT010,255.67100201654836
NCF18,OUT017,3044.23252024993
NCD43,OUT027,2489.403381562121
NCD54,OUT018,2450.766976096738
FDY19,OUT010,267.5409457997686
NCY54,OUT017,2753.9895630526867
NCL19,OUT018,2451.590233902525
FDP23,OUT010,533.8008413991909
FDC26,OUT013,1745.027571788049
FDR14,OUT010,156.51626980127173
NCS41,OUT035,3044.2384767348226
FDF41,OUT035,4005.7513042069477
FDU34,OUT046,2008.8844073831938
DRH11,OUT046,782.9924029849576
FDM03,OUT013,1625.8651370171194
FDS31,OUT017,3043.942804709751
FDJ20,OUT017,2008.8844073831938
FDV44,OUT027,5319.303745121041
FDG02,OUT049,3044.8039573380347
FDA09,OUT013,3044.759190275113
FDT04,OUT013,683.6992931287318
FDL58,OUT019,545.3501687710308
FDE52,OUT045,1496.0999037060021
FDW12,OUT035,2452.003749864827
FDL51,OUT017,3796.449791702975
NCY42,OUT027,3386.6313285067404
FDR07,OUT017,1534.8339022465486
FDN40,OUT045,2462.0321778827997
FDB35,OUT027,2575.9652678795956
FDA22,OUT017,2725.1619253932754
NCL06,OUT046,3929.7763079952597
