Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1620.6914719665067
FDW14,OUT017,1493.8418512703336
NCN55,OUT010,556.5843011188922
FDQ58,OUT017,2452.763292413913
FDY38,OUT027,6060.769763782677
FDH56,OUT046,1946.3825360420951
FDL48,OUT018,788.2846142510382
FDC48,OUT027,2314.2480527997946
FDN33,OUT045,1532.7824202244428
FDA36,OUT017,3064.2770146942657
FDT44,OUT017,1946.3825360420951
FDQ56,OUT045,1338.329802046957
NCC54,OUT019,606.1913790340709
FDU11,OUT049,2006.7951845101973
DRL59,OUT013,788.2846142510382
FDM24,OUT049,2452.763292413913
FDI57,OUT045,3062.0556488705815
DRC12,OUT018,3057.0408375222014
NCM42,OUT027,3051.198714344466
FDA46,OUT010,539.1069598690055
FDA31,OUT013,2748.15222084277
NCJ31,OUT035,3907.898833563507
FDG52,OUT046,685.802853604364
NCL19,OUT019,382.8737889677767
FDS10,OUT035,3061.470572661901
FDX22,OUT010,550.4698208881787
NCF19,OUT035,685.802853604364
NCE06,OUT046,2572.8459415501425
DRC27,OUT046,3958.94220891982
FDE21,OUT035,1946.3825360420951
NCR42,OUT019,79.01197788357585
FDX51,OUT018,3059.410227006527
NCR06,OUT018,685.802853604364
FDU31,OUT027,5745.795353435777
FDU59,OUT017,2716.657428101456
FDR03,OUT027,5667.66393849565
FDS49,OUT027,2309.9379131324413
FDD48,OUT010,260.7004033451791
NCF18,OUT017,3061.470572661901
NCD43,OUT027,2620.5913725536307
NCD54,OUT018,2444.809937440612
FDY19,OUT010,266.11743621321455
NCY54,OUT017,2748.412926794744
NCL19,OUT018,2445.3521770507054
FDP23,OUT010,513.0456820393512
FDC26,OUT013,1738.7753520063727
FDR14,OUT010,151.81604023243338
NCS41,OUT035,3063.839962146226
FDF41,OUT035,4015.5411411787195
FDU34,OUT046,2006.7951845101973
DRH11,OUT046,789.1451525995235
FDM03,OUT013,1620.6914719665067
FDS31,OUT017,3063.579256194252
FDJ20,OUT017,2006.7951845101973
FDV44,OUT027,5365.474365353738
FDG02,OUT049,3065.021403257479
FDA09,OUT013,3064.684857294946
FDT04,OUT013,685.52909937085
FDL58,OUT019,553.1809789708459
FDE52,OUT045,1493.8418512703336
FDW12,OUT035,2445.5484873983405
FDL51,OUT017,3793.9157829113747
NCY42,OUT027,3297.092217954077
FDR07,OUT017,1532.7824202244428
FDN40,OUT045,2452.763292413913
FDB35,OUT027,2572.9756133132064
FDA22,OUT017,2717.784743920229
NCL06,OUT046,3933.563490121267
FDI35,OUT013,3064.4250383549065
NCW42,OUT045,3773.1311304307033
NCX06,OUT049,3063.956181222068
FDC37,OUT027,3050.092208180413
FDZ14,OUT018,2006.7951845101973
DRG49,OUT049,3904.9665628232806
NCG06,OUT045,3947.282700553196
DRC36,OUT045,2748.514629427103
FDV21,OUT019,334.40221716117077
FDB53,OUT046,2445.2305745355857
DRP47,OUT019,587.3503528385434
FDA14,OUT013,2445.2305745355857
DRC24,OUT035,2453.081205276668
FDW21,OUT018,1532.7824202244428
NCH29,OUT046,1532.7824202244428
FDU58,OUT013,3063.839962146226
FDY27,OUT017,2748.514629427103
FDV56,OUT035,1738.7753520063727
FDT59,OUT046,3859.9513412749698
FDB23,OUT046,3837.882303247121
FDR49,OUT045,685.802853604364
FDB03,OUT010,664.2243618410274
FDN39,OUT045,2714.872227813877
FDX02,OUT027,5721.0252985821
FDQ16,OUT027,2624.8671232787615
FDU35,OUT018,1532.7824202244428
NCT29,OUT013,2006.7951845101973
FDZ27,OUT046,685.802853604364
FDN57,OUT017,2030.520248438124
FDA03,OUT018,2444.809937440612
FDZ36,OUT045,3063.839962146226
NCU05,OUT013,1338.329802046957
FDT39,OUT018,2452.3426553189397
FDK60,OUT017,1532.7824202244428
FDZ25,OUT017,2715.592206066045
FDG12,OUT046,2006.7951845101973
DRB01,OUT019,571.2773502765743
NCC43,OUT027,6018.065282490399
FDX13,OUT019,653.8916103008077
FDM22,OUT049,788.2846142510382
FDJ03,OUT027,1131.7386549986982
FDU14,OUT018,3616.5830163032265
FDB33,OUT010,417.253736702233
FDP27,OUT046,3063.216847609919
FDO38,OUT010,183.83784958279327
FDE28,OUT027,5967.689658714187
FDO27,OUT035,1532.7824202244428
DRL23,OUT027,2620.870144648303
FDS28,OUT046,788.2846142510382
FDX24,OUT013,1493.8418512703336
FDZ02,OUT035,1532.7824202244428
FDL46,OUT045,1946.3825360420951
FDS60,OUT027,4900.955609821553
NCO06,OUT017,685.52909937085
FDO16,OUT035,1360.1953071868618
FDC60,OUT049,1494.5584433658994
FDA48,OUT018,3470.428835631187
FDZ36,OUT027,5341.901527000896
FDK27,OUT045,1946.3825360420951
FDW23,OUT018,686.1541519887567
FDM14,OUT018,1738.7753520063727
FDM14,OUT013,1738.7753520063727
FDW60,OUT018,2744.1856690963787
