Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1624.1991211583804
FDW14,OUT017,1490.1750329046495
NCN55,OUT010,555.2316362130109
FDQ58,OUT017,2461.379682031544
FDY38,OUT027,6074.4972571550725
FDH56,OUT046,1947.351246029999
FDL48,OUT018,788.2285312819287
FDC48,OUT027,2313.20110398312
FDN33,OUT045,1536.2357952448288
FDA36,OUT017,3066.3284725828858
FDT44,OUT017,1947.351246029999
FDQ56,OUT045,1337.8584202608743
NCC54,OUT019,605.4931620147619
FDU11,OUT049,2008.0790254245749
DRL59,OUT013,788.2285312819287
FDM24,OUT049,2461.379682031544
FDI57,OUT045,3068.3583444695146
DRC12,OUT018,3060.692826608742
NCM42,OUT027,3048.240509541553
FDA46,OUT010,543.6159737234681
FDA31,OUT013,2747.966616777917
NCJ31,OUT035,3909.648228357414
FDG52,OUT046,685.5132319381734
NCL19,OUT019,390.25548903655096
FDS10,OUT035,3064.1322995530813
FDX22,OUT010,555.4563367766897
NCF19,OUT035,685.5132319381734
NCE06,OUT046,2574.486038819886
DRC27,OUT046,3960.1803887142505
FDE21,OUT035,1947.351246029999
NCR42,OUT019,79.34033141450224
FDX51,OUT018,3062.2188640419104
NCR06,OUT018,685.5132319381734
FDU31,OUT027,5762.699888331755
FDU59,OUT017,2717.211443153126
FDR03,OUT027,5676.558670625092
FDS49,OUT027,2308.1223409898134
FDD48,OUT010,262.5350061640594
NCF18,OUT017,3065.463938323782
NCD43,OUT027,2624.22531811206
NCD54,OUT018,2447.6734644152125
FDY19,OUT010,255.3343915779302
NCY54,OUT017,2747.966616777917
NCL19,OUT018,2447.6734644152125
FDP23,OUT010,511.13783918685766
FDC26,OUT013,1736.3556371557943
FDR14,OUT010,151.12688916868782
NCS41,OUT035,3065.1002580080485
FDF41,OUT035,4011.766688501255
FDU34,OUT046,2008.0790254245749
DRH11,OUT046,788.4161768566547
FDM03,OUT013,1624.1991211583804
FDS31,OUT017,3064.505662897992
FDJ20,OUT017,2008.0790254245749
FDV44,OUT027,5369.841405851057
FDG02,OUT049,3066.99428928336
FDA09,OUT013,3065.540421347601
FDT04,OUT013,685.2626231524486
FDL58,OUT019,554.7336015495159
FDE52,OUT045,1490.1750329046495
FDW12,OUT035,2448.701860404483
FDL51,OUT017,3790.4772542120895
NCY42,OUT027,3279.759275522951
FDR07,OUT017,1536.2357952448288
FDN40,OUT045,2461.379682031544
FDB35,OUT027,2576.2060954423937
FDA22,OUT017,2717.211443153126
NCL06,OUT046,3939.995598047912
FDI35,OUT013,3064.505662897992
NCW42,OUT045,3773.4876464417275
NCX06,OUT049,3065.5490348828885
FDC37,OUT027,3049.3251905500747
FDZ14,OUT018,2008.0790254245749
DRG49,OUT049,3903.1969902959863
NCG06,OUT045,3953.6697814544223
DRC36,OUT045,2747.571668022974
FDV21,OUT019,344.7950829139334
FDB53,OUT046,2448.3582432309368
DRP47,OUT019,584.9825591904865
FDA14,OUT013,2447.9632944759937
DRC24,OUT035,2460.999461654984
FDW21,OUT018,1536.2357952448288
NCH29,OUT046,1536.2357952448288
FDU58,OUT013,3066.1755974584507
FDY27,OUT017,2747.571668022974
FDV56,OUT035,1736.3556371557943
FDT59,OUT046,3854.7032690644814
FDB23,OUT046,3834.96070829789
FDR49,OUT045,685.5132319381734
FDB03,OUT010,672.5557917229673
FDN39,OUT045,2716.7246741926183
FDX02,OUT027,5716.599773500104
FDQ16,OUT027,2629.9294400744066
FDU35,OUT018,1536.2357952448288
NCT29,OUT013,2008.0790254245749
FDZ27,OUT046,685.5132319381734
FDN57,OUT017,2026.7308802700559
FDA03,OUT018,2447.278515660269
FDZ36,OUT045,3064.7303430579796
NCU05,OUT013,1336.3982725814178
FDT39,OUT018,2460.6949032158195
FDK60,OUT017,1536.2357952448288
FDZ25,OUT017,2717.211443153126
