Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1606.4910213785565
FDW14,OUT017,1372.7774864956361
NCN55,OUT010,545.3690430418538
FDQ58,OUT017,2517.840858919189
FDY38,OUT027,6119.051704588095
FDH56,OUT046,1968.8058897273984
FDL48,OUT018,733.6195226375883
FDC48,OUT027,2374.8605982491895
FDN33,OUT045,1506.6856373110347
FDA36,OUT017,3065.618186412566
FDT44,OUT017,1968.8058897273984
FDQ56,OUT045,1372.7774864956361
NCC54,OUT019,603.4143201990246
FDU11,OUT049,1968.8058897273984
DRL59,OUT013,733.6195226375883
FDM24,OUT049,2463.215756893581
FDI57,OUT045,3064.9366824034487
DRC12,OUT018,3060.323763312717
NCM42,OUT027,3062.333029508982
FDA46,OUT010,530.8104838476818
FDA31,OUT013,2799.0525419407877
NCJ31,OUT035,3830.5033205973846
FDG52,OUT046,733.6195226375883
NCL19,OUT019,373.17958347818933
FDS10,OUT035,2799.7438116056715
FDX22,OUT010,555.7961447535373
NCF19,OUT035,733.6195226375883
NCE06,OUT046,2719.3871005332
DRC27,OUT046,3883.741757044636
FDE21,OUT035,1817.251896787666
NCR42,OUT019,74.92544472379352
FDX51,OUT018,3060.3574298353738
NCR06,OUT018,675.9825981573391
FDU31,OUT027,5876.176243356496
FDU59,OUT017,2719.3871005332
FDR03,OUT027,5808.159689023957
FDS49,OUT027,2370.4168549907645
FDD48,OUT010,264.9905293904235
NCF18,OUT017,3063.6728093763377
NCD43,OUT027,2681.97114963264
NCD54,OUT018,2461.910527927999
FDY19,OUT010,247.15825012024186
NCY54,OUT017,2799.284420807242
NCL19,OUT018,2461.910527927999
FDP23,OUT010,513.7917893662817
FDC26,OUT013,1817.251896787666
FDR14,OUT010,156.9932064323529
NCS41,OUT035,3063.9484990239125
FDF41,OUT035,4084.1109140606636
FDU34,OUT046,1968.8058897273984
DRH11,OUT046,976.4733248863224
FDM03,OUT013,1606.4910213785565
FDS31,OUT017,2799.0525419407877
FDJ20,OUT017,1968.8058897273984
FDV44,OUT027,5064.038139634962
FDG02,OUT049,3063.913741351003
FDA09,OUT013,2801.9484650559934
FDT04,OUT013,675.9825981573391
FDL58,OUT019,602.2872107539208
FDE52,OUT045,1506.6856373110347
FDW12,OUT035,2463.215756893581
FDL51,OUT017,3802.2678214115485
NCY42,OUT027,3284.1855535171935
FDR07,OUT017,1506.6856373110347
FDN40,OUT045,2517.840858919189
FDB35,OUT027,2589.426133938901
FDA22,OUT017,2719.906579985976
NCL06,OUT046,3974.0964705160936
FDI35,OUT013,2800.0147169836737
NCW42,OUT045,3782.420195439561
NCX06,OUT049,2800.105576090349
FDC37,OUT027,3066.6767603709077
FDZ14,OUT018,1968.8058897273984
DRG49,OUT049,3830.4353715248817
