Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1645.0818
FDW14,OUT017,1533.2206
NCN55,OUT010,713.3737
FDQ58,OUT017,2458.6648
FDY38,OUT027,5972.46
FDH56,OUT046,1884.4401
FDL48,OUT018,599.26544
FDC48,OUT027,2399.4822
FDN33,OUT045,1530.3014
FDA36,OUT017,3131.8167
FDT44,OUT017,1860.8258
FDQ56,OUT045,1344.3489
NCC54,OUT019,661.16925
FDU11,OUT049,2069.8398
DRL59,OUT013,885.0512
FDM24,OUT049,2440.0784
FDI57,OUT045,3105.353
DRC12,OUT018,2770.1165
NCM42,OUT027,2797.5964
FDA46,OUT010,590.6588
FDA31,OUT013,2811.6213
NCJ31,OUT035,3912.6016
FDG52,OUT046,773.2649
NCL19,OUT019,331.92188
FDS10,OUT035,3090.824
FDX22,OUT010,583.7432
NCF19,OUT035,806.33905
NCE06,OUT046,2593.9436
DRC27,OUT046,3968.9524
FDE21,OUT035,1861.8132
NCR42,OUT019,-151.73235
FDX51,OUT018,2838.1262
NCR06,OUT018,525.8751
FDU31,OUT027,5545.2075
FDU59,OUT017,2826.4485
FDR03,OUT027,5244.4556
FDS49,OUT027,2228.0562
FDD48,OUT010,396.3671
NCF18,OUT017,3077.0874
NCD43,OUT027,2613.2673
NCD54,OUT018,2146.9268
FDY19,OUT010,358.72275
NCY54,OUT017,2846.3782
NCL19,OUT018,2167.4646
FDP23,OUT010,575.3783
FDC26,OUT013,1783.1552
FDR14,OUT010,36.078346
NCS41,OUT035,3145.6729
FDF41,OUT035,4020.8145
FDU34,OUT046,2023.6466
DRH11,OUT046,925.1806
FDM03,OUT013,1626.66
FDS31,OUT017,3154.027
FDJ20,OUT017,2072.6533
FDV44,OUT027,5182.599
FDG02,OUT049,3166.8467
FDA09,OUT013,3113.2896
FDT04,OUT013,697.572
FDL58,OUT019,881.41046
FDE52,OUT045,1467.3801
FDW12,OUT035,2461.5896
FDL51,OUT017,3547.788
NCY42,OUT027,3453.0125
FDR07,OUT017,1567.5205
FDN40,OUT045,2462.838
FDB35,OUT027,2422.1575
FDA22,OUT017,2835.3547
NCL06,OUT046,4007.2507
FDI35,OUT013,3110.7395
NCW42,OUT045,3476.3206
NCX06,OUT049,3164.1191
FDC37,OUT027,2882.1702
FDZ14,OUT018,1859.7773
DRG49,OUT049,3959.6436
NCG06,OUT045,3972.1904
DRC36,OUT045,2809.9365
FDV21,OUT019,354.40924
FDB53,OUT046,2430.4722
DRP47,OUT019,735.5773
FDA14,OUT013,2406.7322
DRC24,OUT035,2520.2986
FDW21,OUT018,1310.2668
NCH29,OUT046,1535.2274
FDU58,OUT013,3109.81
FDY27,OUT017,2847.4504
FDV56,OUT035,1834.8257
FDT59,OUT046,3863.125
FDB23,OUT046,3798.971
FDR49,OUT045,745.85376
FDB03,OUT010,724.092
FDN39,OUT045,2736.9177
FDX02,OUT027,5540.831
FDQ16,OUT027,2586.9558
FDU35,OUT018,1315.2147
NCT29,OUT013,2045.7966
FDZ27,OUT046,751.32935
FDN57,OUT017,2126.207
FDA03,OUT018,2167.8152
FDZ36,OUT045,3085.2869
NCU05,OUT013,1319.2645
FDT39,OUT018,2181.3657
FDK60,OUT017,1587.0039
FDZ25,OUT017,2849.2363
FDG12,OUT046,2064.6125
DRB01,OUT019,486.2634
NCC43,OUT027,5968.7017
FDX13,OUT019,720.6422
FDM22,OUT049,862.2843
FDJ03,OUT027,1351.0646
FDU14,OUT018,3541.518
FDB33,OUT010,302.97803
FDP27,OUT046,3097.9048
FDO38,OUT010,340.65347
FDE28,OUT027,5917.5264
FDO27,OUT035,1589.1945
DRL23,OUT027,2594.4175
FDS28,OUT046,937.1677
FDX24,OUT013,1416.2784
FDZ02,OUT035,1641.6743
FDL46,OUT045,1780.715
FDS60,OUT027,4824.461
NCO06,OUT017,714.9058
FDO16,OUT035,1401.6193
FDC60,OUT049,1456.782
FDA48,OUT018,3238.7961
FDZ36,OUT027,5089.6245
FDK27,OUT045,1979.218
FDW23,OUT018,469.75198
FDM14,OUT018,1558.3024
FDM14,OUT013,1792.4246
FDW60,OUT018,2556.778
FDE21,OUT013,1819.3254
NCM42,OUT035,1814.2253
FDY59,OUT010,420.7812
DRI49,OUT049,1345.9135
FDT28,OUT019,344.01898
FDQ22,OUT018,475.52628
FDR60,OUT049,1325.9298
FDC50,OUT019,456.4939
FDV24,OUT013,2405.231
DRF48,OUT010,544.73895
FDQ47,OUT046,774.9874
DRN36,OUT049,1558.1901
NCY06,OUT035,2129.1206
FDE52,OUT035,1522.4508
NCB54,OUT045,2025.2688
NCF31,OUT035,2454.8135
FDJ08,OUT027,5192.904
NCC07,OUT017,1662.242
NCD19,OUT027,1727.4011
FDL46,OUT049,1996.2749
FDM20,OUT045,3995.988
NCI06,OUT010,612.5192
DRM11,OUT035,4066.0574
NCH07,OUT018,2300.5469
FDS23,OUT013,2079.352
FDO49,OUT018,534.6139
FDS35,OUT049,1067.8752
DRK39,OUT045,1281.5789
DRI39,OUT049,939.4055
FDV04,OUT017,2598.0273
NCN14,OUT035,3092.319
FDH08,OUT013,3846.7751
FDS20,OUT046,3090.8118
FDV40,OUT049,1065.6771
FDZ48,OUT010,373.11887
FDS24,OUT027,2389.9805
FDK44,OUT049,2872.9011
FDS48,OUT045,2413.0242
FDK26,OUT010,567.8792
FDD23,OUT045,3151.8892
NCH54,OUT017,2652.8022
NCP14,OUT010,500.8876
FDM60,OUT010,-134.31764
FDV24,OUT017,2443.471
FDH08,OUT018,3497.1333
FDS12,OUT027,3331.5586
FDR39,OUT027,5139.52
FDP12,OUT027,1273.8832
DRF60,OUT027,5930.963
FDC09,OUT035,1689.4655
FDF50,OUT018,2753.2532
FDG28,OUT035,4014.3628
NCE19,OUT017,963.1477
NCM53,OUT010,385.9718
NCN18,OUT049,1802.8241
FDF32,OUT035,3171.7783
FDF11,OUT013,3942.136
DRI59,OUT049,3920.332
NCG54,OUT035,2818.9387
FDM44,OUT046,1619.3593
FDT57,OUT018,3502.7783
FDV24,OUT046,2408.0203
FDI50,OUT019,698.5731
FDS09,OUT035,874.1117
NCC31,OUT027,3830.7668
FDQ07,OUT019,600.5483
FDC22,OUT017,3201.6272
FDZ56,OUT046,2793.0613
FDZ40,OUT019,51.403603
FDS46,OUT027,2949.295
DRD24,OUT045,2089.6692
FDV45,OUT017,3160.9734
FDL26,OUT045,2377.4995
FDA56,OUT018,1804.7161
FDN27,OUT046,1805.6693
FDM20,OUT049,4036.6252
FDO16,OUT017,1395.8973
FDL03,OUT035,3099.9192
FDE58,OUT046,1800.7775
FDI02,OUT027,2871.7756
NCC55,OUT019,-143.47043
FDR03,OUT018,2846.8657
FDB14,OUT017,1470.646
FDR45,OUT013,3939.9517
NCN07,OUT017,2134.3054
FDM51,OUT019,432.83118
FDT52,OUT027,5983.542
FDL26,OUT046,2398.1064
NCZ42,OUT046,3929.348
DRI47,OUT019,325.28946
FDW40,OUT013,2103.7073
FDN34,OUT046,2805.457
FDS01,OUT035,2889.571
NCG55,OUT045,1805.6298
FDC11,OUT035,1464.4647
FDX35,OUT018,3496.0413
NCB06,OUT046,2624.7175
FDR09,OUT019,686.10333
FDC53,OUT017,1574.7654
FDY45,OUT013,4151.616
FDA22,OUT010,401.32706
FDE02,OUT035,1592.1188
FDW21,OUT045,1522.3544
FDV34,OUT046,1060.053
FDS59,OUT049,1810.358
NCW17,OUT017,2133.656
NCK54,OUT046,1825.2474
FDG17,OUT019,714.8986
FDG35,OUT017,2827.249
FDD08,OUT010,-140.65924
NCO07,OUT017,3628.0537
FDJ10,OUT010,309.83093
FDW36,OUT017,1673.0072
FDW21,OUT010,430.50192
FDY19,OUT017,1834.6702
DRE03,OUT013,720.0966
NCC55,OUT049,711.9974
FDH52,OUT010,106.31316
FDO09,OUT017,4071.478
FDU43,OUT045,3852.2354
FDX09,OUT010,440.59644
FDH40,OUT019,350.49677
FDW58,OUT017,1679.9221
FDC47,OUT017,3963.8154
NCR41,OUT035,1572.3959
DRG49,OUT035,3974.0833
FDC52,OUT027,3845.0654
FDY13,OUT046,1059.317
FDY35,OUT013,770.973
FDI35,OUT017,3153.657
NCU18,OUT049,2118.8386
FDY33,OUT018,2314.505
FDC15,OUT027,3988.0447
FDU01,OUT049,3080.2168
NCU42,OUT046,2782.0688
NCV29,OUT018,2617.54
NCY30,OUT017,3078.7446
FDQ46,OUT049,1794.9995
