"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1737.09400739379
"FDW14","OUT017",1271.0834050481
"NCN55","OUT010",1917.75005675964
"FDQ58","OUT017",2357.70891935056
"FDY38","OUT027",4588.71105367359
"FDH56","OUT046",1855.19256061503
"FDL48","OUT018",620.848256246161
"FDC48","OUT027",2470.87893366001
"FDN33","OUT045",1423.164140427
"FDA36","OUT017",2799.60045039335
"FDT44","OUT017",1867.9467151796
"FDQ56","OUT045",1339.55373610016
"NCC54","OUT019",1921.66355410744
"FDU11","OUT049",1983.86277634797
"DRL59","OUT013",843.800458381353
"FDM24","OUT049",2373.37411191132
"FDI57","OUT045",2915.01307664592
"DRC12","OUT018",2553.17240668138
"NCM42","OUT027",2852.41475518514
"FDA46","OUT010",1170.62472711371
"FDA31","OUT013",2651.59694838235
"NCJ31","OUT035",3652.82225797889
"FDG52","OUT046",721.891598151498
"NCL19","OUT019",540.674115423008
"FDS10","OUT035",2819.04847962483
"FDX22","OUT010",1429.35728548711
"NCF19","OUT035",885.50599192486
"NCE06","OUT046",2361.96002516893
"DRC27","OUT046",3509.16814219732
"FDE21","OUT035",1919.26443779031
"NCR42","OUT019",-1110.81464270508
"FDX51","OUT018",2763.68796502064
"NCR06","OUT018",481.444467044334
"FDU31","OUT027",4462.94105100759
"FDU59","OUT017",2544.17640201871
"FDR03","OUT027",4328.59714807208
"FDS49","OUT027",2508.86834921376
"FDD48","OUT010",34.6461668749107
"NCF18","OUT017",2944.13611922797
"NCD43","OUT027",2782.5887662053
"NCD54","OUT018",1969.84910222733
"FDY19","OUT010",134.314580171973
"NCY54","OUT017",2657.88535038816
"NCL19","OUT018",2030.93293293504
"FDP23","OUT010",1538.08816780153
"FDC26","OUT013",1744.86049204908
"FDR14","OUT010",-941.193569733376
"NCS41","OUT035",2837.94618867994
"FDF41","OUT035",3719.34125375896
"FDU34","OUT046",1915.40858426498
"DRH11","OUT046",849.820224471685
"FDM03","OUT013",1691.56087189148
"FDS31","OUT017",2818.96481601208
"FDJ20","OUT017",1960.39919342418
"FDV44","OUT027",4025.01315087284
"FDG02","OUT049",2883.30404720252
"FDA09","OUT013",2728.75151991021
"FDT04","OUT013",625.73505839903
"FDL58","OUT019",2252.79873340396
"FDE52","OUT045",1288.02046421952
"FDW12","OUT035",2318.07394797435
"FDL51","OUT017",3168.18478905986
"NCY42","OUT027",3347.95874174803
"FDR07","OUT017",1574.57972990761
"FDN40","OUT045",2155.89054368675
"FDB35","OUT027",2673.60383476177
"FDA22","OUT017",2576.78460477668
"NCL06","OUT046",3865.63997165533
"FDI35","OUT013",2764.8969445179
"NCW42","OUT045",3222.57058589946
"NCX06","OUT049",2777.16849358028
"FDC37","OUT027",2889.91983826531
"FDZ14","OUT018",1594.91256697609
"DRG49","OUT049",3596.04502194652
"NCG06","OUT045",3729.63838661741
"DRC36","OUT045",2475.18015891702
"FDV21","OUT019",224.799205401545
"FDB53","OUT046",2211.85300773414
"DRP47","OUT019",1992.31900052047
"FDA14","OUT013",2103.91858957661
"DRC24","OUT035",2346.37761847774
"FDW21","OUT018",1355.97228149944
"NCH29","OUT046",1538.89490844548
"FDU58","OUT013",2850.10924617725
"FDY27","OUT017",2596.95296366696
"FDV56","OUT035",1809.00395140769
"FDT59","OUT046",3437.58719390858
"FDB23","OUT046",3411.73896409025
"FDR49","OUT045",738.77615439528
"FDB03","OUT010",1836.04460260551
"FDN39","OUT045",2518.25136735928
"FDX02","OUT027",4431.73276260659
"FDQ16","OUT027",2822.36885655651
"FDU35","OUT018",1375.47209770512
"NCT29","OUT013",1867.25393224512
"FDZ27","OUT046",711.092406443709
"FDN57","OUT017",2166.71937881255
"FDA03","OUT018",1929.81526679887
"FDZ36","OUT045",2753.74928189053
"NCU05","OUT013",1277.86737745934
"FDT39","OUT018",2131.53100968787
"FDK60","OUT017",1587.77540473558
"FDZ25","OUT017",2647.21185785397
"FDG12","OUT046",1832.24272948785
"DRB01","OUT019",1064.06302261994
"NCC43","OUT027",4883.99859132175
"FDX13","OUT019",2050.05651156662
"FDM22","OUT049",991.869980450272
"FDJ03","OUT027",1977.57451264824
"FDU14","OUT018",3407.3837708639
"FDB33","OUT010",737.738060171188
"FDP27","OUT046",2876.84728750501
"FDO38","OUT010",-504.945086384818
"FDE28","OUT027",4614.29810172756
"FDO27","OUT035",1641.92997845009
"DRL23","OUT027",2791.77079478358
"FDS28","OUT046",808.567473683055
"FDX24","OUT013",1465.29121628575
"FDZ02","OUT035",1511.33880889468
"FDL46","OUT045",1724.81122498722
"FDS60","OUT027",3854.01972345973
"NCO06","OUT017",627.977850180469
"FDO16","OUT035",1378.82988747147
"FDC60","OUT049",1477.11616394903
"FDA48","OUT018",3079.61656073948
"FDZ36","OUT027",4026.5028954926
"FDK27","OUT045",1820.40144358794
"FDW23","OUT018",428.356956401225
"FDM14","OUT018",1495.89692709807
"FDM14","OUT013",1697.34526666995
"FDW60","OUT018",2489.79365930566
"FDE21","OUT013",1830.36696937946
"NCM42","OUT035",1756.74795002967
"FDY59","OUT010",-306.101774657724
"DRI49","OUT049",1275.75426109843
"FDT28","OUT019",537.430689354631
